Municipio,Año,Código,Concepto,Aprobado,Devengado,Observaciones
Apodaca,2021,COG28,Materiales y Suministros para Seguridad,0.00,547848.80,x
Apodaca,2021,COG29,"Herramientas, Refacciones y Accesorios Menores",33948485.00,24788709.89,x
Apodaca,2021,COG03,Servicios Generales,494840675.00,656304869.80,x
Apodaca,2021,COG31,Servicios Básicos,75146173.00,78635004.04,x
Apodaca,2021,COG32,Servicios de Arrendamiento,24193488.00,44312651.51,x
Apodaca,2021,COG33,"Servicios Profesionales, Científicos, Técnicos y Otros Servicios",37275804.00,45513459.35,x
Apodaca,2021,COG34,"Servicios Financieros, Bancarios y Comerciales",9889456.00,8704709.24,x
Apodaca,2021,COG35,"Servicios de Instalación, Reparación, Mantenimiento y Conservación",273744355.00,320434383.10,x
Apodaca,2021,COG36,Servicios de Comunicación Social y Publicidad,17825540.00,19132649.59,x
Apodaca,2021,COG37,Servicios de Traslados y Viáticos,288000.00,508403.98,x
Apodaca,2021,COG38,Servicios Oficiales,31142000.00,111365414.00,x
Apodaca,2021,COG39,Otros Servicios Generales,25335859.00,27698195.06,x
Apodaca,2021,COG04,"Transferencias, Asignaciones, Subsidios y Otras Ayudas",81157560.00,92024548.86,x
Apodaca,2021,COG41,Transferencias Internas y Asignaciones del Sector Público,0.00,0.00,x
Apodaca,2021,COG42,Transferencias al Resto del Sector Público,0.00,0.00,x
Apodaca,2021,COG43,Subsidios y Subvenciones,0.00,0.00,x
Apodaca,2021,COG44,Ayudas Sociales,81117560.00,91984548.86,x
Apodaca,2021,COG45,Pensiones y Jubilaciones,0.00,0.00,x
Apodaca,2021,COG46,"Transferencias a Fideicomisos, Mandatos y Otros Análogos",0.00,0.00,x
Apodaca,2021,COG47,Transferencias a la Seguridad Social,0.00,0.00,x
Apodaca,2021,COG48,Donativos,40000.00,40000.00,x
Apodaca,2021,COG49,Transferencias al Exterior,0.00,0.00,x
Apodaca,2021,COG05,"Bienes Muebles, Inmuebles e Intangibles",3460000.00,12074298.25,x
Apodaca,2021,COG51,Mobiliario y Equipo de Administración,660000.00,1684843.70,x
Apodaca,2021,COG52,Mobiliario y Equipo Educacional y Recreativo,100000.00,59164.06,x
Apodaca,2021,COG53,Equipo e Instrumental Médico y de Laboratorio,200000.00,126085.47,x
Apodaca,2021,COG54,Vehículos y Equipo de Transporte,0.00,1368685.16,x
Apodaca,2021,COG55,Equipo de Defensa y Seguridad,300000.00,2199824.00,x
Apodaca,2021,COG56,"Maquinaria, Otros Equipos y Herramientas",2200000.00,2652553.75,x
Apodaca,2021,COG57,Activos Biológicos,0.00,0.00,x
Apodaca,2021,COG58,Bienes Inmuebles,0.00,0.00,x
Apodaca,2021,COG59,Activos Intangibles,0.00,3983142.11,x
Apodaca,2021,COG06,Inversión Pública,252098415.50,282632196.00,x
Apodaca,2021,COG61,Obra Pública en Bienes de Dominio Público,235405118.40,263673787.70,x
Apodaca,2021,COG62,Obra Pública en Bienes Propios,16693297.16,18958408.27,x
Apodaca,2021,COG63,Proyectos Productivos y Acciones de Fomento,0.00,0.00,x
Apodaca,2021,COG07,Inversiones Financieras y Otras Provisiones,0.00,0.00,x
Apodaca,2021,COG71,Inversiones para el Fomento de Actividades Productivas,0.00,0.00,x
Apodaca,2021,COG72,Acciones y Participaciones de Capital,0.00,0.00,x
Apodaca,2021,COG73,Compra de Títulos y Valores,0.00,0.00,x
Apodaca,2021,COG74,Concesión de Préstamos,0.00,0.00,x
Apodaca,2021,COG75,"Inversiones de Fideicomisos, Mandatos y Otros Análogos",0.00,0.00,x
Apodaca,2021,COG76,Otras Inversiones Financieras,0.00,0.00,x
Apodaca,2021,COG78,Provisiones para Contingencias y Otras Erogaciones Especiales,0.00,0.00,x
Apodaca,2021,COG08,Participaciones y Aportaciones,0.00,0.00,x
Apodaca,2021,COG81,Participaciones,0.00,0.00,x
Apodaca,2021,COG82,Aportaciones,0.00,0.00,x
Apodaca,2021,COG83,Convenios,0.00,0.00,x
Apodaca,2021,COG09,Deuda Pública,47999446.00,27466969.18,x
Apodaca,2021,COG91,Amortización de la Deuda Pública,6351916.00,6904771.71,x
Apodaca,2021,COG92,Intereses de la Deuda Pública,20221484.00,20562197.47,x
Apodaca,2021,COG93,Comisiones de la Deuda Pública,0.00,0.00,x
Apodaca,2021,COG94,Gastos de la Deuda Pública,0.00,0.00,x
Apodaca,2021,COG95,Costo por Coberturas,0.00,0.00,x
Apodaca,2021,COG96,Apoyos Financieros,0.00,0.00,x
Apodaca,2021,COG97,Adeudos de Ejercicios Fiscales Anteriores (ADEFAS)1,21426046.00,0.00,x
Apodaca,2021,COGTOT,Total del Gasto,2101272138.00,2328307997.00,x
Atizapan de Zaragoza,2021,COG01,Servicios Personales,975385388.00,991159845.10,x
Atizapan de Zaragoza,2021,COG11,Remuneraciones al Personal  de Carácter Permanente,599469107.40,581189554.60,x
Atizapan de Zaragoza,2021,COG12,Remuneraciones al Personal  de Carácter Transitorio,1608000.00,1563801.03,x
Atizapan de Zaragoza,2021,COG13,Remuneraciones Adicionales y Especiales,151573186.70,174035655.00,x
Atizapan de Zaragoza,2021,COG14,Seguridad Social,161434370.20,152299414.40,x
Atizapan de Zaragoza,2021,COG15,Otras Prestaciones Sociales y Económicas,60850723.74,82071420.12,x
Atizapan de Zaragoza,2021,COG16,Previsiones,450000.00,0.00,x
Atizapan de Zaragoza,2021,COG17,Pago de Estímulos a Servidores Públicos,0.00,0.00,x
Atizapan de Zaragoza,2021,COG02,Materiales y Suministros,127419763.50,115810794.50,x
Atizapan de Zaragoza,2021,COG21,"Materiales de Administración, Emisión de Documentos y Artículos Oficiales",16551200.07,15295225.89,x
